,summaryID,candidate,gold,title,grammatical_correctness_1,arrangement_1,quality_1,conciseness_1,exhaustiveness_1,subjectiveScore_1,annotator_1,grammatical_correctness_2,arrangement_2,quality_2,conciseness_2,exhaustiveness_2,subjectiveScore_2,annotator_2,url
13,13,"Over 400 farmers, including women, took to the streets in Dadri on Tuesday morning demanding the immediate release of 39 farmers who were arrested on Friday. The farmers were staging a protest demanding a hiked compensation for the land being acquired by the government for the construction of the Eastern Peripheral Expressway.",Over 400 farmers from Greater Noida and adjoining areas protested in Dadri seeking immediate release of 39 farmers arrested on Friday for stopping a passenger train and blocking movement on the Delhi-Howrah railway track for an hour. The arrested farmers had been demanding more compensation for land being acquired by the government for construction of the Eastern Peripheral Expressway. ,Noida farmers demand release of arrested counterparts ,5,5,4,5,4,4,devansh,4,5,4,4,5,4,viranya,http://www.hindustantimes.com/noida/noida-farmers-demand-unconditional-release-of-arrested-counterparts/story-gmm3DEHkslQeWNVOuGWpmJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
14,14,The Air Canada pilots mistook the taxiway for the runway next to it and flew their jet to just 59ft (18m) above ground before pulling up to attempt another landing. NTSB investigators said they have not determined probable cause for the incident.,"Investigators have released pictures showing how close an Air Canada flight came to crashing onto four planes at a US airport last month. Its pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting the landing. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters.",Photo shows how close flight came to crashing onto 4 planes,4,4,5,5,4,5,devansh,4,4,5,4,5,4,viranya,https://www.theguardian.com/business/2017/aug/03/air-canada-near-miss-picture-shows-how-close-planes-came-to-crashing?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle#img-2 
15,15,"Two sunbathers, a 56-year-old man and an eight- year-old girl, died. Others ran into the sea when the plane came down on Wednesday. The two occupants of the plane were unhurt and were being questioned.","Two sunbathers, a 56-year-old man and an eight-year-old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The others had run into the sea to save themselves. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.",Sunbathers killed as plane hits them while landing on beach,5,4,3,4,3,5,devansh,5,3,4,3,3,3,viranya,https://www.theguardian.com/world/2017/aug/02/sunbathers-killed-as-light-plane-lands-on-beach-in-portugal-reports?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
16,16,"Ayesha Gulalai, elected to the National Assembly in 2013 from a reserved seat for women in the tribal areas bordering Afghanistan, also announced her decision to quit the PTI because she could not compromise on her honour and dignity. She said she had received numerous text messages from Khan, and the first one was sent from his Blackberry in October 2013.","A woman lawmaker of Pakistan Tehreek-e-Insaf (PTI) party, Ayesha Gulalai, has accused party leader Imran Khan of harassing women leaders in the party and sending them obscene text messages. ""My integrity matters to me the most and I cannot compromise when it comes to my honour and dignity,"" Gulalai said announcing her resignation from the party. ",Imran Khan accused of harassing women party leaders,5,5,4,4,3,5,devansh,4,2,3,3,2,3,viranya,http://www.hindustantimes.com/world-news/pakistan-pti-lawmaker-ayesha-gulalai-accuses-imran-khan-of-harassing-women-party-leaders/story-CJtab5yD6hPhysSKeMj7XJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
17,17,PM1 particle is 70 times finer than the thickness of a human hair. It goes directly into the bloodstream and is potentially more dangerous than the more well known PM2.5 and PM10 pollutants.,"Substantial presence of PM1, reportedly the most dangerous particulate matter, has been found in areas around Delhi's Lodhi Road, a study by System of Air Quality and Weather Forecasting And Research said. Its presence in the Central Delhi area may be attributed to the huge flow of vehicles since the particulate matter is a product of vehicular pollution, reports said. ",Central Delhi air has considerable PM1 pollutant: Study,5,2,4,2,2,2,devansh,4,4,4,3,4,4,viranya,http://www.hindustantimes.com/delhi-news/tiny-and-dangerous-pollutant-pm1-aplenty-in-central-delhi-air-says-safar-study/story-4P3Z0wXYKHrbKHWh9d14fI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
18,18,The Daman and Diu administration on Wednesday withdrew a circular that asked women staff to tie rakhis on male colleagues. The order triggered a backlash from employees and was ripped apart on social media. The circular was withdrawn through a one-line order issued late in the evening.,"The Administration of Union Territory Daman and Diu has issued a circular making it compulsory for all employees to celebrate Rakshabandhan by asking women employees to tie rakhis on the wrist of male colleagues. ""It has been decided to celebrate the festival of Rakshabandhan on August 7. In this connection, all offices/departments shall remain open,"" the circular read.",Rakshabandhan compulsory for employees in Daman and Diu,5,4,3,3,4,3,devansh,4,4,4,4,3,3,viranya,http://www.hindustantimes.com/india-news/rakshabandhan-compulsory-in-daman-and-diu-women-employees-to-tie-rakhis-to-male-colleagues/story-E5h5U1ZDJii5zFpLXWRkhJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
19,19,"Lipstick Under My Burkha was initially denied certification by the Central Board of Film Certification (CBFC), aka Censor Board. The CBFC letter informing the filmmakers that certification wouldn?t be given had called the film ?lady-oriented?, a perplexing word that drew much ridicule from filmmakers and actors. Naseeruddin Shah has seen the film twice, and it?s a wonderfully made film.","Actor Naseeruddin Shah, while talking about the controversy around 'Lipstick Under My Burkha', said that one needs to ask a psychiatrist why the Censor Board is afraid of female sexuality on screen. He added, ""It's very frightening to see that the Censor Board can do whatever it wants and practise its biases openly and ban films that it doesn't like.""",Ask psychiatrist why Censors fear female sexuality: Shah,4,4,3,4,4,3,devansh,4,5,4,5,5,5,viranya,http://www.hindustantimes.com/bollywood/naseeruddin-shah-censor-board-is-afraid-of-female-sexuality-on-screen/story-wuoz4yYtwM3ZdXy4Di442I.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
20,20,"A teacher of a private school in Haridwar district has been accused of stripping two girls in front of the class for performing poorly in a test held for English subject. The incident left the girls shocked. After returning home, they informed their parents, who lodged a complaint against the teacher and the school management.","A teacher of a private school in Haridwar district of Uttarakhand has been accused of stripping two girls in front of the class for performing poorly in a test held for English subject. While the parents of the girls lodged a complaint against the teacher and the school management, the allegation has been refuted by the school authorities. ","Teacher stripped girls for poor marks, school denies charges",5,5,3,4,4,4,devansh,5,3,4,5,3,4,dreamy,http://www.hindustantimes.com/dehradun/haridwar-teacher-accused-of-stripping-girls-for-poor-performance-school-refutes/story-sKl0HVlTCoEfgpg736PhQP.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
21,21,"Kapil cleared the air surrounding his ill health in an interview to Dainik Bhaskar. He said that he merely has blood pressure problems, not depression. Kapil has been under a lot of stress due to the falling TRPs of his show.","Comedian and television show host Kapil Sharma has said that he is not suffering from depression, while adding, ""It's just a big term for me."" He added that apart from low blood pressure, he isn't facing any health issues and is feeling perfectly fine now. Kapil also clarified he has no stress and pressure regarding The Kapil Sharma Show's TRP.","Not suffering from depression, it's just a big term: Kapil",5,5,4,3,2,4,devansh,5,5,3,4,2,2,dreamy,http://www.hindustantimes.com/tv/kapil-sharma-breaks-silence-on-rumours-of-depression-it-is-just-a-big-term-for-me/story-qV7RWTQ8YDQ2nWY5lHFdvL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
22,22,Comedian-actor Sunil Grover has stayed away from the limelight for almost five months. He quit The Kapil Sharma Show (TKSS) after a fight with Kapil on board an aircraft. Sunil says that misses his audiences as much as they miss him.,"Comedian Sunil Grover has said that there is no need for a mediator to resolve the feud between him and Kapil Sharma. ""I know [Kapil] very well. Why do I need someone else to sort things between us?"" he added. Sunil further said, ""Anyway, the best part is that the comedy didn't stop and it's continuing from both ends.""","Kapil and I don't need mediator to resolve feud, says Sunil",5,2,3,1,1,2,devansh,5,3,5,3,1,2,dreamy,http://www.hindustantimes.com/tv/comedian-sunil-grover-on-his-feud-with-kapil-sharma-we-don-t-need-a-mediator/story-eHTo02xn1gd6YxnAtS1AjL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
23,23,"Sakib Ansari was unconscious when police rescued him from the mob. Doctors said Ansari suffered multiple injuries on his head, neck, legs and back. Several people have been lynched in the BJP-ruled state.","A 25-year-old man was on Wednesday assaulted by a mob which allegedly found him in a compromising position with a woman at a government-run centre in Bokaro, Jharkhand. The victim, found unconscious when police rescued him from the mob, has suffered multiple injuries on his head, neck, legs and back. The man is reportedly battling for life in a hospital.",Mob assaults man caught with woman in compromising position,4,3,3,3,2,3,devansh,5,3,2,3,1,2,dreamy,http://www.hindustantimes.com/cities/mob-assaults-muslim-man-found-half-naked-with-woman-at-govt-centre-in-jharkhand/story-czewOzmBCYu5O1Cy0qHrVK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
24,24,The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna has asked its employees to declare whether they are virgin. The marriage declaration form which has come to light is applicable for hospital employees and freshly recruited doctors and nursing staffs. The form also asks male employees to provide details if they have more than one wife.,"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Bihar's Patna has asked its employees to declare their virginity and number of wives/husbands in a marital declaration form. Further, the form spelt bachelor as 'bechelor'. ""This is not a new form and has been in practice since 1984 when IGIMS was established,"" Deputy Medical Superintendent Dr Manish Mandal said.",Are you a virgin? Bihar medical institute asks its employees,4,3,4,2,2,3,devansh,5,4,4,3,2,3,dreamy,http://indiatoday.intoday.in/story/indira-gandhi-institute-of-medical-sciences-patna-bihar-marital-status/1/1016847.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
25,25,"The Brihanmumbai Municipal Corporation (BMC) earlier redid a 5-km stretch of the Juhu beach. Each of the eight access points to the beach will have 5m high walls, bollards to restrict vehicles, ramps and steps.","Brihanmumbai Municipal Corporation is planning to redevelop eight entry points of Mumbai's Juhu beach in the second phase by August-end, authorities said. As per the plan, each entry point will have five metre high walls, and steps with railings among others. While residents welcomed the move, an activist said that any beautification shouldn't affect ""the natural feel of the beach"".n  ",Mumbai's Juhu beach to be redeveloped,5,5,5,4,4,4,devansh,5,4,4,3,2,3,dreamy,http://www.hindustantimes.com/mumbai-news/mumbai-s-juhu-beach-to-get-a-swanky-makeover/story-mdHdpVTB5w98pN4s5VSGUM.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
26,26,The production will raise money for the Royal Academy of Dramatic Art (Rada) The ballot opens at noon on Tuesday 1 August and tickets will be difficult for people to get their hands on.,"Actor Tom Hiddleston will star in a play on William Shakespeare's 'Hamlet', which will be directed by Kenneth Branagh. The production aims to raise money for the Royal Academy of Dramatic Art, the drama school attended by Hiddleston. Tickets will be available through a lottery and winners will be able to collect them only on the day of the performance.",Tom Hiddleston to star in play on Shakespeare's 'Hamlet',5,2,4,2,1,2,devansh,5,1,3,3,1,1,dreamy,https://www.theguardian.com/stage/2017/aug/01/tom-hiddleston-to-star-in-branaghs-hamlet-for-three-weeks-only?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
27,27,"Sheikhs from Egypt?s highest Islamic authority have opened a fatwa kiosk in the Cairo metro. They offer religious advice to commuters in what they say is an effort to counter extremism. The idea is proving popular with travellers passing through Cairo?s al-Shohada metro station, a busy transport hub.","Egypt's highest Islamic authority Al-Azhar Al-Sharif has opened a fatwa kiosk at Cairo metro to offer commuters religious advice in an effort to counter extremism. A sheikh said, ""We usually talk about the issues of daily life, and what religion says about such things. The topics we mostly discuss are marriage, divorce and inheritance."" ",Egypt's Islamic authority sets up fatwa kiosk at metro,5,5,5,4,4,4,devansh,4,4,5,5,4,4,dreamy,https://www.theguardian.com/world/2017/aug/01/egyptian-islamic-authority-sets-up-fatwa-kiosk-in-cairo-metro?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
28,28,"The watch, entered as a Sekonda ?House of Commons? wristwatch, was valued at Rs 3,500. Among the gifts received by Modi between January and March are a model of the fabled Sha?bi housing model.","PM Narendra Modi took a wristwatch by British company Sekonda and a decorative porcelain from the external affairs ministry's repository this year. All gifts received by ministers and officials have to be deposited at the repository, called toshakhana. However, a recipient can take home gifts valued under ?5,000.",What gifts did PM Narendra Modi take home this year?,5,3,4,2,2,2,devansh,2,1,1,2,1,1,dreamy,http://www.hindustantimes.com/india-news/gifts-modi-received-in-2017-sekonda-watch-mont-blanc-pen-carved-sculpture/story-sY4Eoxswa0JjcN9310PamK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
29,29,Priyanka Chopra and Bryan Adams came together to support Hear The World Foundation. The actor and the singer smiled for the camera in the black and white selfie.,"Priyanka Chopra has shared a picture with singer Bryan Adams on Instagram which she captioned, ""Was so good to see you again."" Priyanka and Bryan came together to support the organisation 'Hear The World Foundation', which works for people with hearing disabilities. Adams is known for songs like 'Summer of 69' and '(Everything I Do) I Do It for You'.",Priyanka Chopra shares picture with singer Bryan Adams ,5,5,4,4,4,4,devansh,4,5,5,3,3,4,dreamy,http://www.hindustantimes.com/hollywood/priyanka-chopra-clicks-selfies-with-bryan-adams-struts-on-film-sets-in-dress-with-thigh-high-slit/story-worzLuPQxz2KbfImPVyWXI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
30,30,"Swara Bhaskar has never held back from expressing her views on sensitive subjects. Rooting for ?equal pay for equal work?, Swara says, ?I am not saying that if I work for 10 days, I should expect the pay that an actor gets for 100 days of work?'","Actress Swara Bhasker, while addressing pay disparity in Bollywood, has said that if as an actress, she works for as many days as an actor, then she should also expect an equal amount of pay. Swara added, ""If you see in Hollywood, women are taking up this whole question of equality... so why can't Bollywood take its cue from them?""",Swara talks about unequal pay for actresses in Bollywood,4,4,4,4,3,4,devansh,4,4,2,2,2,2,dreamy,http://www.hindustantimes.com/bollywood/swara-bhaskar-female-actors-have-to-fight-for-what-they-want/story-ulOL8jlMasnxvoE2BwZlvJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
31,31,"Victoria and Abdul is based on the friendship between Queen Victoria and her most trusted clerk, Abdul Karim. Ali Fazal plays Abdul who was the Queen?s munshi. All the costumes worn by Judi and Ali will be on display at the museum site inside the house.","Costumes worn by actors Judi Dench and AIi Fazal during the shooting of the film 'Victoria & Abdul' will be displayed at Queen Victoria's home, the Osborne House in the UK. They will go on display for public Friday onwards. Most of the scenes from the film were also shot in the same house.",'Victoria & Abdul' costumes to be displayed at Queen's home,5,5,5,4,4,4,devansh,5,5,4,4,4,4,dreamy,http://www.hindustantimes.com/bollywood/victoria-and-abdul-dresses-of-ali-fazal-judi-dench-to-be-displayed-at-the-queen-s-official-home/story-Et5YsHSnEJZqc0BhH6KN7L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
32,32,The Uttar Pradesh cabinet on Tuesday approved a proposal to make registration of marriages compulsory. Chief minister Yogi Adityanath presided over a cabinet meeting to adopt the Uttar Pradesh Marriage Registration Rules-2017. The Centre had already made marriage registration compulsory across the country.,"Yogi Adityanath government has approved making the registration of marriages compulsory for all religions and castes in Uttar Pradesh. The approval comes in wake of a 2006 Supreme Court's verdict, which asked Centre and state governments to draft rules for making marriage registration compulsory. Reportedly, ?10 fine will be levied for delay up to a year and ?50 beyond that.",UP government makes registration of marriages compulsory,5,4,4,4,4,4,devansh,5,4,4,5,3,4,dreamy,http://www.hindustantimes.com/lucknow/eleven-years-after-sc-ruling-up-govt-makes-registration-of-marriages-compulsory/story-KrL26m3E7nV2eJt7PlRXeM.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
33,33,The National Green Tribunal (NGT) has asked the Delhi and Uttar Pradesh governments to remove debris on the floodplains of the Yamuna. It said indiscriminate dumping of waste was a direct source of pollution in the river. A bench headed by NGT chairperson justice Swatanter Kumar said the department of irrigation would have to carry out these directions.,"The National Green Tribunal (NGT) on Tuesday directed the irrigation departments of Delhi and Uttar Pradesh to remove debris from the Yamuna floodplains within three weeks. The NGT added that any ?inaction on part of authorities cannot be tolerated?. Notably, the Tribunal has reconstituted the Principal Committee responsible for overseeing the execution of the Yamuna cleaning project.","NGT directs UP, Delhi to clean debris from Yamuna floodplain",4,3,4,3,4,4,devansh,5,5,5,5,4,5,dreamy,http://www.hindustantimes.com/delhi-news/remove-debris-from-yamuna-floodplain-green-tribunal-tells-delhi-uttar-pradesh/story-aCkTENNbNWsAW3F7qwFCVN.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
34,34,"Lakshmibai College in Ashok Vihar will start the crèche in August. Teachers will have to pay Rs4,000 per month for availing the facility. There will be two rooms, one play area and a pantry.","Lakshmibai College will be the first college in the University of Delhi to start a crèche facility for the children of its teaching and non-teaching staff in August. College principal said the teachers would be able to focus more on their work without worrying about the children. The crèche will consist of two rooms, a pantry, and a play area.",DU college to start child care facilities for staff kids,5,4,4,4,4,4,devansh,5,4,3,3,3,3,dreamy,http://www.hindustantimes.com/delhi-news/in-a-first-in-du-lakshmibai-college-to-set-up-creche-for-staff/story-uCRkEnlbnXsHy6EgOkoNMJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
